Ref,Val,Package,PosX,PosY,Rot,Side
"C11","10 nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",26.900000,-88.056000,180.000000,top
"C12","10 nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",31.900000,-88.056000,180.000000,top
"C13","10 nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",36.900000,-88.056000,180.000000,top
"C14","10 nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",41.900000,-88.056000,180.000000,top
"C15","10 nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",46.900000,-88.056000,180.000000,top
"C16","10 nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",51.900000,-88.056000,180.000000,top
"C17","10 nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",56.900000,-88.056000,180.000000,top
"C18","10 nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",61.900000,-88.056000,180.000000,top
"C19","10 nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",36.364000,-74.092000,90.000000,top
"C20","10 nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",27.728000,-74.092000,90.000000,top
"C21","1 uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",32.300000,-69.520000,0.000000,top
"IC2","REF3433IDBVR","SOT95P280X145-6N",32.300000,-74.600000,90.000000,top
"IC3","MCP3304-CI_P","DIP781W56P254L1918H533Q16N",49.804000,-73.543400,90.000000,top
"J9","NTC_Conn","43045-16YY_212223",53.603300,-95.272000,0.000000,top
"J10","NTC_ADC_Conn","PinSocket_1x06_P2.54mm_Vertical",49.525100,-60.335400,-90.000000,top
"J11","NTC_ADC_CS_Conn","PinSocket_2x08_P2.54mm_Vertical",34.325100,-32.146400,90.000000,top
"R12","6.8k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",26.900000,-84.500000,180.000000,top
"R13","6.8k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",31.900000,-84.500000,180.000000,top
"R14","6.8k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",36.900000,-84.500000,180.000000,top
"R15","6.8k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",41.900000,-84.500000,180.000000,top
"R16","6.8k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",46.900000,-84.500000,180.000000,top
"R17","6.8k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",51.900000,-84.500000,180.000000,top
"R18","6.8k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",56.900000,-84.500000,180.000000,top
"R19","6.8k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",61.900000,-84.500000,180.000000,top
"S1","DS01C-254-S-08BE","DS01C254S08BE",21.420100,-49.921400,0.000000,top
"S2","DS01C-254-S-08BE","DS01C254S08BE",47.200100,-49.921400,0.000000,top
