Ref,Val,Package,PosX,PosY,Rot,Side
C1,220uF,CP_Radial_D5.0mm_P2.50mm,17.7051,-164.2,180,top
C2,220uF,CP_Radial_D5.0mm_P2.50mm,25.6051,-164.2,180,top
C3,220uF,CP_Radial_D5.0mm_P2.50mm,33.5051,-164.2,180,top
C4,220uF,CP_Radial_D5.0mm_P2.50mm,41.305113,-164.2,180,top
C9,220uF,CP_Radial_D5.0mm_P2.50mm,62.594888,-163.6,0,top
C10,220uF,CP_Radial_D5.0mm_P2.50mm,73.694888,-164.2,0,top
C11,220uF,CP_Radial_D5.0mm_P2.50mm,80.194888,-164.2,0,top
C12,220uF,CP_Radial_D5.0mm_P2.50mm,86.3949,-164.2,0,top
C22,220uF,CP_Radial_D8.0mm_P3.50mm,39.2675,-34.6251,-90,top
C23,220uF,CP_Radial_D8.0mm_P3.50mm,45.8861,-53.9903,-90,top
C24,220uF,CP_Radial_D8.0mm_P3.50mm,52.5047,-73.3555,-90,top
C25,220uF,CP_Radial_D8.0mm_P3.50mm,55.6,-94.6473,-90,top
C26,220uF,CP_Radial_D8.0mm_P3.50mm,47.8,-143.8527,90,top
C27,220uF,CP_Radial_D8.0mm_P3.50mm,51.8144,-126.2542,90,top
C28,220uF,CP_Radial_D8.0mm_P3.50mm,58.231,-106.889,90,top
C29,220uF,CP_Radial_D8.0mm_P3.50mm,63.9,-91.6527,90,top
IC4,VNH7070ASTR,SOIC127P600X175-16N-layout,26.4175,-30.1876,180,top
IC5,VNH7070ASTR,SOIC127P600X175-16N-layout,33.0361,-49.5528,180,top
IC6,VNH7070ASTR,SOIC127P600X175-16N-layout,39.6547,-68.918,180,top
IC7,VNH7070ASTR,SOIC127P600X175-16N-layout,46.2733,-88.2832,180,top
IC8,VNH7070ASTR,SOIC127P600X175-16N-layout,58.2477,-150.0569,0,top
IC9,VNH7070ASTR,SOIC127P600X175-16N-layout,64.6644,-130.6917,0,top
IC10,VNH7070ASTR,SOIC127P600X175-16N-layout,71.081,-111.3265,0,top
IC11,VNH7070ASTR,SOIC127P600X175-16N-layout,77.4977,-91.9613,0,top
J6,Conn_02x12_Odd_Even,TE-5530843-1-2x12_edge_connector,48,-11.9946,180,top
Q3,BSS138,SOT-23,39.6675,-26.0251,0,top
Q4,BSS138,SOT-23,46.2861,-45.3903,0,top
Q5,BSS138,SOT-23,52.9047,-64.7555,0,top
Q6,BSS138,SOT-23,59.5233,-84.1207,0,top
Q7,BSS138,SOT-23,50.5,-157.9,180,top
Q8,BSS138,SOT-23,51.4144,-134.8542,180,top
Q9,BSS138,SOT-23,57.831,-115.489,180,top
Q10,BSS138,SOT-23,64.2477,-96.1238,180,top
R20,8k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,35.6675,-26.0251,-90,top
R21,8k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,42.2861,-45.3903,-90,top
R22,8k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,48.9047,-64.7555,-90,top
R23,8k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,55.5233,-84.1207,-90,top
R24,8k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,48.9977,-154.2194,90,top
R25,8k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,55.4144,-134.8542,90,top
R26,8k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,61.831,-115.489,90,top
R27,8k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,68.2477,-96.1238,90,top
R28,1K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,33.505,-32.1876,180,top
R29,1K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,40.1236,-51.5528,180,top
R30,1K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,46.7422,-70.918,180,top
R31,1K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,53.3608,-90.2832,180,top
R32,1K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,32.6675,-26.0251,-90,top
R33,1K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,39.2861,-45.3903,-90,top
R34,1K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,45.9047,-64.7555,-90,top
R35,1K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,52.5233,-84.1207,-90,top
R36,1K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,18.4175,-28.4376,180,top
R37,1K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,25.0361,-47.8028,180,top
R38,1K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,31.6547,-67.168,180,top
R39,1K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,38.2733,-86.5332,180,top
R40,1K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,51.1602,-148.0569,0,top
R41,1K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,57.5769,-128.6917,0,top
R42,1K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,63.9935,-109.3265,0,top
R43,1K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,70.4102,-89.9613,0,top
R44,1K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,51.9977,-154.2194,90,top
R45,1K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,58.4144,-134.8542,90,top
R46,1K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,64.831,-115.489,90,top
R47,1K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,71.2477,-96.1238,90,top
R48,1K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,66.2477,-151.8069,0,top
R49,1K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,72.6644,-132.4417,0,top
R50,1K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,79.0814,-113.0767,0,top
R51,1K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,85.4977,-93.7113,0,top
U2,Adafruit_815_I2C_PWM_driver,MODULE_815,79.2477,-50.994,-90,top
